run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
495,1000,blk_sda,0.0,0.0,0.0,267.0,0.0,6488.0
495,2000,blk_sda,0.0,0.0,0.0,629.0,21.0,16192.0
495,3000,blk_sda,0.0,0.0,0.0,527.0,0.0,16508.0
